labeled_percent,method,test_accuracy,test_f1,supervised_accuracy,supervised_f1,improvement,pseudo_labels,iterations
5,self_training,0.7207,0.7204916852480985,0.7194,0.719215985388184,0.001275699859914492,37500,39
10,self_training,0.7656,0.765428997739352,0.7717,0.771556078044729,-0.006127080305377008,35000,16
20,self_training,0.803,0.8029179823475338,0.8069,0.8068381089985042,-0.0039201266509704125,30000,15
30,self_training,0.8127,0.812591151066451,0.8168,0.8166961693781827,-0.004105018311731712,25000,16
50,self_training,0.8237,0.8236122841527863,0.825,0.8249227909508093,-0.0013105067980230256,15000,7
