antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'special'}),"frozenset({'movi', 'effect'})",0.027859525210908377,0.018049833235236415,0.012752599568373553,0.45774647887323944,25.36015003061849,0.012249739784303793,1.8108691387090445,0.988095940386556
"frozenset({'movi', 'effect'})",frozenset({'special'}),0.018049833235236415,0.027859525210908377,0.012752599568373553,0.7065217391304347,25.36015003061849,0.012249739784303793,3.312478654836904,0.9782248520710061
"frozenset({'special', 'movi'})",frozenset({'effect'}),0.017461251716696095,0.030998626643123407,0.012752599568373553,0.7303370786516854,23.560304366377473,0.012211324745686094,3.5933800928650843,0.9745729909068568
frozenset({'effect'}),"frozenset({'special', 'movi'})",0.030998626643123407,0.017461251716696095,0.012752599568373553,0.4113924050632911,23.56030436637747,0.012211324745686094,1.6692593788038925,0.9881882037784042
frozenset({'effect'}),frozenset({'special'}),0.030998626643123407,0.027859525210908377,0.015891701000588582,0.5126582278481013,18.40154216437868,0.015028093980120949,1.9947817534633312,0.9759085534883604
frozenset({'special'}),frozenset({'effect'}),0.027859525210908377,0.030998626643123407,0.015891701000588582,0.5704225352112676,18.40154216437868,0.015028093980120949,2.2557081150274834,0.9727572846980852
frozenset({'album'}),frozenset({'song'}),0.030606238964096526,0.04041593093976849,0.014125956444967627,0.46153846153846156,11.419716206123974,0.012888976804668651,1.7820846996832873,0.9412399649193821
frozenset({'song'}),frozenset({'album'}),0.04041593093976849,0.030606238964096526,0.014125956444967627,0.34951456310679613,11.419716206123974,0.012888976804668651,1.4902620505477324,0.9508621277175765
frozenset({'worst'}),"frozenset({'ever', 'movi'})",0.05218756131057485,0.020796546988424564,0.01059446733372572,0.20300751879699247,9.761597389700666,0.009509146262719063,1.2286232004767879,0.9469782347033434
"frozenset({'ever', 'movi'})",frozenset({'worst'}),0.020796546988424564,0.05218756131057485,0.01059446733372572,0.5094339622641509,9.761597389700666,0.009509146262719063,1.9320792019438282,0.9166202868867666
frozenset({'cd'}),frozenset({'song'}),0.03884638022366098,0.04041593093976849,0.01373356876594075,0.35353535353535354,8.747425713445132,0.012163556145561279,1.4843566068275458,0.9214766862041815
frozenset({'song'}),frozenset({'cd'}),0.04041593093976849,0.03884638022366098,0.01373356876594075,0.33980582524271846,8.74742571344513,0.012163556145561279,1.4558650417200432,0.9229839063002016
"frozenset({'one', 'ever'})",frozenset({'worst'}),0.034137728075338436,0.05218756131057485,0.015106925642534824,0.44252873563218387,8.479582577132485,0.013325360865599368,1.7001996322882469,0.9132458035565897
frozenset({'worst'}),"frozenset({'one', 'ever'})",0.05218756131057485,0.034137728075338436,0.015106925642534824,0.28947368421052627,8.479582577132485,0.013325360865599368,1.3593617160421163,0.9306373609830452
"frozenset({'book', 'worst'})",frozenset({'ever'}),0.017461251716696095,0.07553462821267412,0.01059446733372572,0.6067415730337078,8.032628046111192,0.009275538177177163,2.3507833739734854,0.8910668855756715
frozenset({'ever'}),"frozenset({'book', 'worst'})",0.07553462821267412,0.017461251716696095,0.01059446733372572,0.14025974025974025,8.032628046111192,0.009275538177177163,1.1428320788189488,0.9470422247374709
frozenset({'ever'}),"frozenset({'one', 'worst'})",0.07553462821267412,0.02491661761820679,0.015106925642534824,0.2,8.026771653543307,0.013224858194426209,1.2188542279772414,0.9469439728353141
"frozenset({'one', 'worst'})",frozenset({'ever'}),0.02491661761820679,0.07553462821267412,0.015106925642534824,0.6062992125984251,8.026771653543307,0.013224858194426209,2.3481420443398076,0.8977867203219315
frozenset({'ever'}),"frozenset({'movi', 'worst'})",0.07553462821267412,0.017853639395722973,0.01059446733372572,0.14025974025974025,7.856086770372485,0.009245899319726634,1.142375676231561,0.9440160661510406
