Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
SVM,0.8145,0.8242074927953891,0.8202676864244742,0.8222328701485385,,0.890448808670044
Logistic Regression,0.812,0.8214971209213052,0.8183556405353728,0.8199233716475096,0.8947102067975837,5.890444040298462
LSTM,0.815,0.8366533864541833,0.8030592734225621,0.8195121951219512,0.9030678916587499,42.32128405570984
XGBoost,0.7745,0.7803958529688972,0.7915869980879541,0.7859515899383009,0.8599115728882315,49.97766661643982
Naive Bayes,0.7525,0.7631327602674307,0.7638623326959847,0.7634973721930244,0.7717881036272753,0.9062423706054688
Random Forest,0.7355,0.7567030784508441,0.7284894837476099,0.7423283000487092,0.8133460402211079,2.5469372272491455
