labeled_percent,method,accuracy,f1,supervised_accuracy,supervised_f1,improvement,pseudo_labels,iterations
5,Self-Training,0.7352941176470589,0.7346565179689758,0.7558333333333334,0.7547433035714286,-0.020086785602452806,7945.0,9.0
10,Self-Training,0.7692307692307693,0.7676896757837459,0.7625,0.7620531887655708,0.005636487018175096,7178.0,19.0
20,Self-Training,0.782608695652174,0.782604586098036,0.7858333333333334,0.7857166679636691,-0.003112081865633165,6023.0,19.0
30,Self-Training,0.8146611341632088,0.8146437590877784,0.7991666666666667,0.7990649432942094,0.015578815793569012,4953.0,13.0
50,Self-Training,0.7890365448504983,0.788978316551846,0.8016666666666666,0.8015662095602565,-0.012587893008410456,3173.0,10.0
5,Label Propagation,0.6666666666666666,0.6582577847851794,0.7558333333333334,0.7547433035714286,-0.09648551878624922,,
10,Label Propagation,0.6425339366515838,0.641476887693287,0.7625,0.7620531887655708,-0.12057630107228379,,
20,Label Propagation,0.6847826086956522,0.6846618979855237,0.7858333333333334,0.7857166679636691,-0.10105476997814544,,
30,Label Propagation,0.681881051175657,0.6817440632033439,0.7991666666666667,0.7990649432942094,-0.1173208800908655,,
50,Label Propagation,0.6985049833887044,0.6980047885075817,0.8016666666666666,0.8015662095602565,-0.10356142105267474,,
