labeled_percent,method,accuracy,f1,supervised_accuracy,supervised_f1,improvement,pseudo_labels,iterations
5,Self-Training,0.7352941176470589,0.7346565179689758,0.7558333333333334,0.7547433035714286,-0.020086785602452806,7945,9
10,Self-Training,0.7692307692307693,0.7676896757837459,0.7625,0.7620531887655708,0.005636487018175096,7178,19
20,Self-Training,0.782608695652174,0.782604586098036,0.7858333333333334,0.7857166679636691,-0.003112081865633165,6023,19
30,Self-Training,0.8146611341632088,0.8146437590877784,0.7991666666666667,0.7990649432942094,0.015578815793569012,4953,13
50,Self-Training,0.7890365448504983,0.788978316551846,0.8016666666666666,0.8015662095602565,-0.012587893008410456,3173,10
