antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedents_str,consequents_str,rule_str
frozenset({'book'}),frozenset({'read'}),0.3316643300620869,0.2323252553575005,0.18165431604245943,0.5477053140096618,2.3574936490088287,0.10460031586781077,1.697288888021334,0.8615740987009108,book,read,book → read
frozenset({'read'}),frozenset({'book'}),0.2323252553575005,0.3316643300620869,0.18165431604245943,0.7818965517241379,2.3574936490088287,0.10460031586781077,3.0643058384505095,0.7500842075045498,read,book,read → book
